,index,lsa_tfidf,lsa_binary,mwpe,tr_jaccard,tr_cosine
0,107,0.487,0.896,0.931,0.677,0.737
1,120,0.527,0.749,0.872,0.932,0.707
2,130,0.338,0.715,0.671,0.612,0.62
3,135,0.269,0.6,0.613,0.609,0.685
4,143,0.542,0.677,0.608,0.579,0.639
5,173,0.604,0.635,0.799,0.607,0.792
6,201,0.445,0.736,1.0,0.69,0.695
7,203,1.0,0.428,0.677,0.791,0.354
8,222,0.28,0.917,0.872,0.772,0.805
9,297,0.32,0.831,0.782,0.668,0.657
