,index,lsa_tfidf,lsa_binary,mwpe,tr_jaccard,tr_cosine
0,107,0.615,0.896,0.775,0.787,0.864
1,120,0.659,0.891,0.872,0.907,0.746
2,130,0.47,0.702,0.671,0.62,0.604
3,135,0.269,0.611,0.591,0.652,0.649
4,143,0.496,0.677,0.777,0.679,0.781
5,173,0.599,0.635,0.799,0.74,0.406
6,201,0.361,0.736,0.434,0.422,0.459
7,203,1.0,0.428,0.792,0.611,0.354
8,222,0.28,0.917,0.917,0.652,0.278
9,297,0.613,0.749,0.782,0.906,0.792
